Date,time,operator,scriber,cleaving,Lot,Needle_maker,Needle_No,scribe_length,scribe_force,unseparate,peeling
2025/03/24,23:18:37,JC2024041,Scriber No.6,Cleaving No.9,24LDD1AS8Bb01,Asahi,622,147.5,12.4,0,0
2025/03/24,23:39:39,JC2024041,Scriber No.8,Cleaving No.12,24LDD1ASGAb01,Asahi,623,153.1,12.1,0,0
2025/03/24,23:49:04,JC2024041,Scriber No.7,Cleaving No.11,24LDD1ASGAf01,Asahi,624,156.3,11.9,0,1
2025/03/25,1:57:16,JC2024041,Scriber No.4,Cleaving No.7,24MPDFA1XDa00,Ogura,,154.8,12.2,0,0
2025/03/25,2:10:38,JC2024041,Scriber No.9,Cleaving No.4,24LDD1ASJBg01,Asahi,625,145.5,12.2,0.1,0
2025/03/25,7:39:24,JC2019007,Scriber No.5,Cleaving No.8,24H1NV246Ae01,Asahi,626,150.1,12.2,0,0
2025/03/25,12:55:52,JC2024101,Scriber No.7,Cleaving No.11,24MDDFA1KDa00,Asahi,624,156.7,12.3,0,2
2025/03/25,15:19:17,JC2024101,Scriber No.9,Cleaving No.4,24MNDEA1YAe01,Asahi,625,150.8,12,11.6,7
2025/03/25,19:09:01,JC2020061,Scriber No.3,Cleaving No.6,24H1NV245Cd00,Asahi,627,149.1,11.8,0,0
2025/03/25,19:09:29,JC2020061,Scriber No.9,Cleaving No.4,24MNDEA1YBc01,TECDIA,6,146.9,11.9,0,0
2025/03/25,20:08:02,JC2020061,Scriber No.8,Cleaving No.12,24MNDEA1YCc01,TECDIA,7,147.2,12.1,0,0
